name;description;year;category;genre;Top200;Top50;Icons;Top 80s;Top 90s;multiplayer;bios;sample
gtmr;1000 Miglia: Great 1000 Miles Rally;1994;Driving / Race;Driving;x;x;;;x;;;
1941;1941: Counter Attack;1990;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
19xx;19XX: The War Against Destiny;1996;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
openice;2 On 2 Open Ice Challenge;1995;Sports / Hockey;Sports;x;;;;x;x;;
3countb;3 Count Bout / Fire Suplex;1993;Sports / Wrestling;Sports;x;;;;x;x;neogeo;
astorm;Alien Storm;1990;Platform / Shooter Scrolling;Platform;x;;;;x;x;;
avsp;Alien vs. Predator;1994;Fighter / 2.5D;Fighter;x;x;;;x;x;;
aliens;Aliens;1990;Platform / Shooter Scrolling;Platform;x;;;;x;x;;
batrider;Armed Police Batrider;1998;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
armwar;Armored Warriors;1994;Fighter / 2.5D;Fighter;x;x;;;x;x;;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;Fighter / Versus;Fighter;x;;;;x;x;neogeo;
asterix;Asterix;1992;Fighter / 2.5D;Fighter;;;;;x;x;;
batsugun;Batsugun;1993;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
bgaregga;Battle Garegga;1996;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
sailormn;Pretty Soldier Sailor Moon;1995;Fighter / 2.5D;Fighter;x;;;;x;x;;
blazstar;Blazing Star;1998;Shooter / Flying Horizontal;Shooter;x;x;;;x;x;neogeo;
bjourney;Blue's Journey / Raguy;1990;Platform / Fighter Scrolling;Platform;x;;;;x;x;neogeo;
bouldash;Boulder Dash / Boulder Dash Part 2;1990;Maze / Digging;Maze;x;;x;;x;;;
bublbob2;Bubble Bobble II;1994;Platform / Run Jump;Platform;x;x;;;x;x;;
dino;Cadillacs and Dinosaurs;1993;Fighter / 2.5D;Fighter;x;;;;x;x;;
csclub;Capcom Sports Club;1997;Sports / Multiplay;Sports;x;;;;x;x;;
dariusg;Darius Gaiden - Silver Hawk;1994;Shooter / Flying Horizontal;Shooter;x;x;;;x;x;;
