name;description;year;category;genre;Top200;Top50;Icons;Top 80s;Top 90s;multiplayer;bios;sample
gnbarich;Gunbarich;2001;Ball & Paddle / Breakout;Ball & Paddle;x;;;;;;;
gtmr;1000 Miglia: Great 1000 Miles Rally;1994;Driving / Race;Driving;x;x;;;x;;;
1941;1941: Counter Attack;1990;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
1944;1944: The Loop Master;2000;Shooter / Flying Vertical;Shooter;x;;;;;x;;
19xx;19XX: The War Against Destiny;1996;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
openice;2 On 2 Open Ice Challenge;1995;Sports / Hockey;Sports;x;;;;x;x;;
3countb;3 Count Bout / Fire Suplex;1993;Sports / Wrestling;Sports;x;;;;x;x;neogeo;
aburner2;After Burner II;1987;Shooter / Flying (chase view);Shooter;x;;x;x;;;;
astorm;Alien Storm;1990;Platform / Shooter Scrolling;Platform;x;;;;x;x;;
aliensyn;Alien Syndrome;1987;Maze / Shooter Large;Maze;x;;;x;;x;;
avsp;Alien vs. Predator;1994;Fighter / 2.5D;Fighter;x;x;;;x;x;;
aliens;Aliens;1990;Platform / Shooter Scrolling;Platform;x;;;;x;x;;
altbeast;Altered Beast;1988;Platform / Fighter Scrolling;Platform;x;;;x;;x;;
arabian;Arabian;1983;Platform / Run Jump;Platform;x;;;x;;;;
batrider;Armed Police Batrider;1998;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
armwar;Armored Warriors;1994;Fighter / 2.5D;Fighter;x;x;;;x;x;;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;Fighter / Versus;Fighter;x;;;;x;x;neogeo;
grdians;Guardians / Denjin Makai II;1995;Fighter / 2.5D;Fighter;x;;;;;x;;
hook;Hook;1992;Fighter / 2.5D;Fighter;x;;;;;x;;
bstars2;Baseball Stars 2;1992;Sports / Baseball;Sports;x;;;;;x;neogeo;
batsugun;Batsugun;1993;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
nslasher;Night Slashers;1994;Fighter / 2.5D;Fighter;x;;;;;x;;
bgaregga;Battle Garegga;1996;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
sailormn;Pretty Soldier Sailor Moon;1995;Fighter / 2.5D;Fighter;x;;;;x;x;;
berzerk;Berzerk;1980;Maze / Shooter Small;Maze;x;;x;x;;;;
blktiger;Black Tiger;1987;Platform / Fighter Scrolling;Platform;x;;;x;;;;
blazstar;Blazing Star;1998;Shooter / Flying Horizontal;Shooter;x;x;;;x;x;neogeo;
sengoku3;Sengoku 3 / Sengoku Densho 2001;2001;Fighter / 2.5D;Fighter;x;;;;;x;neogeo;
shadfrce;Shadow Force;1993;Fighter / 2.5D;Fighter;x;;;;;x;;
bjourney;Blue's Journey / Raguy;1990;Platform / Fighter Scrolling;Platform;x;;;;x;x;neogeo;
bombjack;Bomb Jack;1984;Platform / Run Jump;Platform;x;;;x;;;;
bouldash;Boulder Dash / Boulder Dash Part 2;1990;Maze / Digging;Maze;x;;x;;x;;;
bublbob2;Bubble Bobble II;1994;Platform / Run Jump;Platform;x;x;;;x;x;;
btime;Burger Time;1982;Platform / Run Jump;Platform;x;;x;x;;;;
cabal;Cabal;1988;Shooter / 3rd Person;Shooter;x;;x;x;;x;;
cadash;Cadash;1989;Platform / Fighter Scrolling;Platform;x;;;x;;x;;
dino;Cadillacs and Dinosaurs;1993;Fighter / 2.5D;Fighter;x;;;;x;x;;
csclub;Capcom Sports Club;1997;Sports / Multiplay;Sports;x;;;;x;x;;
viostorm;Violent Storm;1993;Fighter / 2.5D;Fighter;x;;;;;x;;
wof;Warriors of Fate;1992;Fighter / 2.5D;Fighter;x;;;;;x;;
chasehq;Chase H.Q.;1988;Driving / Race (chase view);Driving;x;;x;x;;;;
mystwarr;Mystic Warriors;1993;Fighter / 2D;Fighter;x;;;;;x;;
citycon;City Connection;1985;Platform / Run Jump;Platform;x;;;x;;;;
clshroad;Clash-Road;1986;Driving / Race Bike;Driving;x;;;x;;;;
crsword;Crossed Swords;1991;Fighter / Misc.;Fighter;x;;;;;x;neogeo;
asurabus;Asura Buster - Eternal Warriors;2001;Fighter / Versus;Fighter;x;;;;;x;;
crkdown;Crack Down;1989;Maze / Shooter Large;Maze;x;;;x;;x;;
cybots;Cyberbots: Fullmetal Madness;1995;Fighter / Versus;Fighter;x;;;;;x;;
jojoba;JoJo's Bizarre Adventure;1999;Fighter / Versus;Fighter;x;;;;;x;;
dariusg;Darius Gaiden - Silver Hawk;1994;Shooter / Flying Horizontal;Shooter;x;x;;;x;x;;
kizuna;Kizuna Encounter - Super Tag Battle / Fu'un Super Tag Battle;1996;Fighter / Versus;Fighter;x;;;;;x;neogeo;
doapp;Dead Or Alive ++;1998;Fighter / Versus;Fighter;mame;;;;;x;coh1002m;
deathsml;Deathsmiles;2007;Shooter / Flying Horizontal;Shooter;x;x;;;x;x;;
defender;Defender;1980;Shooter / Flying Horizontal;Shooter;x;x;x;x;;;;
gundamex;Mobile Suit Gundam EX Revue;1994;Fighter / Versus;Fighter;x;;;;;x;;
digdug;Dig Dug;1982;Maze / Digging;Maze;x;;x;x;;;;
pwrinst2;Power Instinct 2;1994;Fighter / Versus;Fighter;x;;;;;x;;
ddonpach;DoDonPachi;1997;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
dkong;Donkey Kong;1981;Platform / Run Jump;Platform;x;;x;x;;;;
dkongjr;Donkey Kong Junior;1982;Platform / Run Jump;Platform;x;;;x;;;;
ddragon;Double Dragon;1987;Fighter / 2.5D;Fighter;x;x;x;x;;x;;
dragnblz;Dragon Blaze;2000;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
ddsom;Dungeons & Dragons: Shadow over Mystara;1996;Fighter / 2.5D;Fighter;x;x;;;x;x;;
elvactr;Elevator Action Returns;1994;Platform / Shooter;Platform;x;x;;;x;x;;
espgal2;Espgaluda II;2005;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
fantzone;Fantasy Zone;1986;Shooter / Flying Horizontal;Shooter;x;;x;x;;;;
fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - Haruka-naru Tatakai;1995;Fighter / Versus;Fighter;x;;;;x;x;neogeo;
ffight;Final Fight;1989;Fighter / 2.5D;Fighter;x;x;x;x;;x;;
flicky;Flicky;1984;Platform / Run Jump;Platform;x;x;x;x;;;;
fshark;Flying Shark;1987;Shooter / Flying Vertical;Shooter;x;;;x;;;;
frogger;Frogger;1981;Maze / Cross;Maze;x;;x;x;;;;
galaga88;Galaga '88;1987;Shooter / Gallery;Shooter;x;;;x;;;;
garou;Garou - Mark of the Wolves;1999;Fighter / Versus;Fighter;x;x;x;;x;x;neogeo;
ghouls;Ghouls'n Ghosts;1988;Platform / Fighter Scrolling;Platform;x;x;;x;;;;
gigawing;Giga Wing;1999;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
goldnaxe;Golden Axe;1989;Fighter / 2.5D;Fighter;x;;x;x;;x;;
gberet;Green Beret;1985;Platform / Shooter Scrolling;Platform;x;;;x;;;;
gunbird2;Gunbird 2;1998;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
gunlock;Gunlock;1993;Shooter / Flying Vertical;Shooter;x;;;;x;x;;
gyruss;Gyruss;1983;Shooter / Flying (chase view);Shooter;x;;;x;;;;
liquidk;Liquid Kids;1990;Platform / Fighter Scrolling;Platform;x;;;;;;;
mtwins;Mega Twins;1990;Platform / Fighter Scrolling;Platform;x;;;;;x;;
osman;Osman;1996;Platform / Fighter Scrolling;Platform;x;;;;;;;
hsf2;Hyper Street Fighter II: The Anniversary Edition;2004;Fighter / Versus;Fighter;x;x;;;;x;;
offroad;Ironman Ivan Stewart's Super Off-Road;1989;Driving / Race Track;Driving;mame;;;;;x;;
joust;Joust;1982;Platform / Run Jump;Platform;x;;x;x;;x;;
joemacr;Joe & Mac Returns;1994;Platform / Run Jump;Platform;x;;;;x;x;;
kinst2;Killer Instinct 2;1996;Fighter / Versus;Fighter;mame;;;;mame;x;;
knights;Knights of the Round;1991;Fighter / 2.5D;Fighter;x;;;;;x;;
lightbr;Light Bringer;1993;Maze / Fighter;Maze;x;;;;x;x;;
bnzabros;Bonanza Bros;1990;Platform / Shooter;Platform;x;;;;x;x;;
locomotn;Loco-Motion;1982;Puzzle / Sliding;Puzzle;x;;;x;;;;
ldrun;Lode Runner;1984;Platform / Run Jump;Platform;x;;x;x;;;;
msword;Magic Sword: Heroic Fantasy;1990;Platform / Fighter Scrolling;Platform;x;x;;;x;x;;
magdrop3;Magical Drop III;1997;Puzzle / Toss;Puzzle;x;;;;x;x;neogeo;
mappy;Mappy;1983;Platform / Run Jump;Platform;x;;x;x;;;;
mvsc;Marvel Vs. Capcom: Clash of Super Heroes;1998;Fighter / Versus;Fighter;x;x;;;x;x;;
megaman2;Mega Man 2: The Power Fighters;1996;Fighter / Versus Co-op;Fighter;x;;;;x;x;;
mslug4;Metal Slug 4;2002;Platform / Shooter Scrolling;Platform;x;;;;x;x;neogeo;
mwalk;Michael Jackson's Moonwalker;1990;Platform / Fighter Scrolling;Platform;x;;;;x;x;;
milliped;Millipede;1982;Shooter / Gallery;Shooter;x;;;x;;;;
miexchng;Money Puzzle Exchanger / Money Idol Exchanger;1997;Puzzle / Toss;Puzzle;x;;;;x;x;neogeo;
docastle;Mr. Do's Castle;1983;Platform / Run Jump;Platform;x;;;x;;;;
mrdrillr;Mr. Driller;1999;Puzzle / Misc.;Puzzle;mame;;;;mame;;;
mspacman;Ms. Pac-Man;1981;Maze / Collect;Maze;x;x;;x;;;;
futari15;Mushihime-Sama Futari Ver 1.5;2006;Shooter / Flying Vertical;Shooter;x;x;;;x;x;;
nam1975;NAM-1975;1990;Shooter / 3rd Person;Shooter;x;;;;;x;neogeo;
nbahangt;NBA Hangtime;1996;Sports / Basketball;Sports;x;x;;;x;x;;
nemesis;Nemesis;1985;Shooter / Flying Horizontal;Shooter;x;;x;x;;;;
turfmast;Neo Turf Masters / Big Tournament Golf;1996;Sports / Golf;Sports;x;x;;;x;;neogeo;
nbbatman;Ninja Baseball Bat Man;1993;Fighter / 2.5D;Fighter;x;;;;x;x;;
nspirit;Ninja Spirit;1988;Fighter / 2D;Fighter;x;x;;x;;;;
outrun;Out Run;1986;Driving / Race (chase view);Driving;x;x;x;x;;;;
outzone;Out Zone;1990;Shooter / Walking;Shooter;x;;;;x;x;;
pacmania;Pac-Mania;1987;Maze / Collect;Maze;x;;;x;;;;
paperboy;Paperboy;1984;Maze / Driving;Maze;mame;;;;;;;
plsmaswd;Plasma Sword: Nightmare of Bilstein;1998;Fighter / Versus;Fighter;mame;;;;mame;x;coh3002c;
pdrift;Power Drift;1988;Driving / Race (chase view);Driving;x;;;x;;;;
pspikes;Power Spikes;1991;Sports / Volleyball;Sports;x;;;;x;x;;
progear;Progear;2001;Shooter / Flying Horizontal;Shooter;x;;;;x;x;;
pulstar;Pulstar;1995;Shooter / Flying Horizontal;Shooter;x;;;;x;;neogeo;
punchout;Punch-Out!!;1984;Sports / Boxing;Sports;x;;x;x;;;;
puyopuy2;Puyo Puyo 2;1994;Puzzle / Drop;Puzzle;x;x;;;x;x;;
puzzloop;Puzz Loop;1998;Puzzle / Toss;Puzzle;x;;;;x;x;skns;
