name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
1941;1941 - Counter Attack (900227 World);1990;Capcom;YES;-;NO;-;-;
1943;1943: The Battle of Midway (Euro);1987;Capcom;YES;-;NO;-;-;
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);1993;SNK;YES;neogeo;NO;-;-;
64street;64th. Street - A Detective Story (World);1991;Jaleco;YES;-;NO;-;-;
acrobatm;Acrobat Mission;1991;UPL (Taito license);YES;nmk004;NO;-;-;
aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008);1994;ADK / SNK;YES;neogeo;NO;-;-;
agress;Agress;1991;Palco;YES;-;NO;-;-;
koshien;Ah Eikou no Koshien (Japan);1990;Taito Corporation;YES;-;NO;-;-;
airattck;Air Attack (set 1);1996;Comad;YES;-;NO;-;-;
alcon;Alcon (US);1986;Toaplan / Taito America Corp.;YES;-;NO;-;-;
aliensec;Alien Sector;1985;Namco;YES;-;NO;-;-;
aliensyn;Alien Syndrome (set 4, System 16B, unprotected);1987;Sega;YES;-;NO;-;-;
aliens;Aliens (World set 1);1990;Konami;YES;-;NO;-;-;
alpham2;Alpha Mission II / ASO II - Last Guardian (NGM-007)(NGH-007);1991;SNK;YES;neogeo;NO;-;-;
altbeast;Altered Beast (set 8, 8751 317-0078);1988;Sega;YES;-;NO;-;-;
ambush;Ambush;1983;Tecfri;YES;-;NO;-;-;
horshoes;American Horseshoes (US);1990;Taito America Corporation;YES;-;NO;-;-;
androdun;Andro Dunos (NGM-049)(NGH-049);1992;Visco;YES;neogeo;NO;-;-;
angelkds;Angel Kids (Japan);1988;Sega / Nasco?;YES;-;NO;-;-;
armedf;Armed Formation;1988;Nichibutsu;YES;-;NO;-;-;
armorcar;Armored Car (set 1);1981;Stern;YES;-;NO;-;-;
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);1992;SNK;YES;neogeo;NO;-;-;
ashura;Ashura Blaster (World);1990;Taito Corporation Japan;YES;-;NO;-;-;
aso;ASO - Armored Scrum Object;1985;SNK;YES;-;NO;-;-;
asuka;Asuka & Asuka (World);1988;Taito Corporation;YES;-;NO;-;-;
atomicp;Atomic Point (Korea);1990;Philco;YES;-;NO;-;-;
avspirit;Avenging Spirit;1991;Jaleco;YES;-;NO;-;-;
bcstry;B.C. Story (set 1);1997;SemiCom;YES;-;NO;-;-;
bssoccer;Back Street Soccer [graphics issues?];1996;SunA;YES;-;NO;-;-;
baddudes;Bad Dudes vs. Dragonninja (US);1988;Data East USA;YES;-;NO;-;-;
bakutotu;Bakutotsu Kijuutei;1988;Namco;YES;-;NO;-;-;
ballbros;Balloon Brothers;1992;East Technology;YES;-;NO;-;-;
bangball;Bang Bang Ball (v1.05);1996;Banpresto / Kunihiko Tashiro+Goodhouse;YES;-;NO;-;-;
battlnts;Battlantis (program code G);1987;Konami;YES;-;NO;-;-;
bchopper;Battle Chopper;1987;Irem;YES;-;NO;-;-;
battlane;Battle Lane! Vol. 5 (set 1);1986;Technos Japan (Taito license);YES;-;NO;-;-;
bshark;Battle Shark (World);1989;Taito Corporation Japan;YES;-;NO;-;-;
bbusters;Beast Busters (World);1989;SNK;YES;-;NO;-;-;
bestbest;Best Of Best;1994;SunA;YES;-;NO;-;-;
bigkarnk;Big Karnak;1991;Gaelco;YES;-;NO;-;-;
bigstrik;Big Striker;1992;Jaleco;YES;-;NO;-;-;
bioship;Bio-ship Paladin;1990;UPL (American Sammy license);YES;nmk004;NO;-;-;
blkheart;Black Heart;1991;UPL;YES;nmk004;NO;-;-;
blkpnthr;Black Panther;1987;Konami;YES;-;NO;-;-;
bmaster;Blade Master (World);1991;Irem;YES;-;NO;-;-;
bladestl;Blades of Steel (version T);1987;Konami;YES;-;NO;-;-;
blastoff;Blast Off (Japan);1989;Namco;YES;-;NO;-;-;
blazeon;Blaze On (Japan);1992;Atlus;YES;-;NO;-;-;
blzntrnd;Blazing Tornado;1994;Human Amusement;YES;-;NO;-;-;
blockcar;Block Carnival / Thunder & Lightning 2;1992;Visco;YES;-;NO;-;-;
blockhl;Block Hole;1989;Konami;YES;-;NO;-;-;
bloodbro;Blood Bros. (set 1);1990;Tad;YES;-;NO;-;-;
bloodwar;Blood Warrior;1994;Kaneko;YES;-;NO;-;-;
bloxeed;Bloxeed (Japan, FD1094 317-0139);1990;Sega;YES;-;NO;-;-;
bluehawk;Blue Hawk;1993;Dooyong;YES;-;NO;-;-;
boggy84;Boggy '84;1983;Kaneko;YES;-;NO;-;-;
