name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
1944;1944 - the loop master (000620 USA);2000;Capcom / 8ing / Raizing;YES;-;NO;-;-;
19xx;19XX - the war against destiny (951207 USA);1995;Capcom;YES;-;NO;-;-;
asurabus;Asura Buster - Eternal Warriors (Japan);2000;Fuuki;YES;-;NO;-;-;
bgaregga;Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996);1996;Raizing / 8ing;YES;-;NO;-;-;
ddp2;Bee Storm - DoDonPachi II (V102, World);2001;IGS;YES;pgm;NO;-;-;
blazstar;Blazing Star;1998;Yumekobo;YES;neogeo;NO;-;-;
bombjack;Bomb Jack (set 1);1984;Tehkan;YES;-;NO;-;-;
boogwing;Boogie Wings (Euro v1.5, 92.12.07);1992;Data East Corporation;YES;-;NO;-;-;
bublbob2;Bubble Bobble II (Ver 2.6O 1994/12/16);1994;Taito Corporation Japan;YES;-;NO;-;-;
choplift;Choplifter (8751 315-5151) [The (unprotected) or (bootleg) versions work fine.];1985;Sega;YES;-;NO;-;-;
circusc;Circus Charlie (level select, set 1);1984;Konami;YES;-;NO;-;-;
cosmogng;Cosmo Gang the Video (US);1991;Namco;YES;-;NO;-;-;
cybots;Cyberbots - fullmetal madness (950424 Euro);1995;Capcom;YES;-;NO;-;-;
cyvern;Cyvern (US);1998;Kaneko;YES;skns;NO;-;-;
dstlk;Darkstalkers - the night warriors (940705 Euro);1994;Capcom;YES;-;NO;-;-;
dmnfrnt;Demon Front (V105);2002;IGS;YES;pgm;NO;-;-;
dietgo;Diet Go Go (Euro v1.1 1992.09.26);1992;Data East Corporation;YES;-;NO;-;-;
digdug2;Dig Dug II (New Ver.);1985;Namco;YES;-;NO;-;-;
dondokod;Don Doko Don (World);1989;Taito Corporation Japan;YES;-;NO;-;-;
ddragon;Double Dragon (Japan);1987;Technos;YES;-;NO;-;-;
dragnblz;Dragon Blaze;2000;Psikyo;YES;-;NO;-;-;
dsaber;Dragon Saber (World, DO2);1990;Namco;YES;-;NO;-;-;
dw2001;Dragon World 2001 (V100, Japan) [Bad sound?];2001;IGS (Alta Co., LTD License);YES;pgm;NO;-;-;
driftout;Drift Out (Europe);1991;Visco (Europe);YES;-;NO;-;-;
ddtod;Dungeons & Dragons - tower of doom (940412 Euro);1994;Capcom;YES;-;NO;-;-;
kabukikl;Far East of Eden - Kabuki Klash / Tengai Makyou - Shin Den;1995;Hudson;YES;neogeo;NO;-;-;
feversos;Fever SOS (International, ver. 98/09/25);1998;Cave / Nihon System inc.;YES;-;NO;-;-;
ffight;Final Fight (World, set 1);1989;Capcom;YES;-;NO;-;-;
gloc;G-LOC Air Battle (World);1990;Sega;YES;-;NO;-;-;
garou;Garou - Mark of the Wolves (NGM-2530);1999;SNK;YES;neogeo;NO;-;-;
gigas;Gigas (MC-8123, 317-5002) [Please use gigasb instead!];1986;SEGA;YES;-;NO;-;-;
goldnaxe;Golden Axe (set 6, US, 8751 317-123A);1989;Sega;YES;-;NO;-;-;
gberet;Green Beret;1985;Konami;YES;-;NO;-;-;
gundhara;Gundhara;1995;Banpresto;YES;-;NO;-;-;
gutsn;Guts'n (Japan);2000;Kaneko / Kouyousha;YES;skns;NO;-;-;
hsf2;Hyper Street Fighter II: The Anniversary Edition (040202 USA);2004;Capcom;YES;-;NO;-;-;
ikari3;Ikari III - The Rescue (8-Way Joystick);1989;SNK;YES;-;NO;-;-;
imgfight;Image Fight (Japan, revision A);1988;Irem;YES;-;NO;-;-;
jailbrek;Jail Break;1986;Konami;YES;-;NO;-;-;
joemacr;Joe & Mac Returns (World, Version 1.1, 1994.05.27);1994;Data East;YES;-;NO;-;-;
jojoba;JoJo's Bizarre Adventure: Heritage for the Future / JoJo no Kimyou na Bouken: Mirai e no Isan (Japan 990927);1999;Capcom;YES;-;NO;-;-;
jojo;JoJo's Venture / JoJo no Kimyou na Bouken (USA 990128);1998;Capcom;YES;-;NO;-;-;
jjack;Jumping Jack;1984;Universal;YES;-;NO;-;-;
junofrst;Juno First;1983;Konami;YES;-;NO;-;-;
kangaroo;Kangaroo;1982;Sun Electronics;YES;-;NO;-;-;
kicker;Kicker;1985;Konami;YES;-;NO;-;-;
kinst;Killer Instinct (ver. 1.5);1994/1995;Rare/Nintendo;YES;-;NO;-;-;
kinst2;Killer Instinct II (ver. 1.4);1994/1995;Rare/Nintendo;YES;-;NO;-;-;
kingdmgp;Kingdom Grandprix (World);1994;Raizing / 8ing;YES;-;NO;-;-;
kizuna;Kizuna Encounter - Super Tag Battle / Fu'un Super Tag Battle;1996;SNK;YES;neogeo;NO;-;-;
ldrun3;Lode Runner III - The Golden Labyrinth;1985;Irem (licensed from Broderbund);YES;-;NO;-;-;
msh;Marvel Super Heroes (951024 Euro);1995;Capcom;YES;-;NO;-;-;
mshvsf;Marvel Super Heroes vs Street Fighter (970625 Euro);1997;Capcom;YES;-;NO;-;-;
megaman;Mega Man - the power battle (951006 USA);1995;Capcom;YES;-;NO;-;-;
gtmr2;Mille Miglia 2: Great 1000 Miles Rally (95/05/24);1995;Kaneko;YES;-;NO;-;-;
mk3;Mortal Kombat 3 (rev 2.1);1994;Midway;YES;-;NO;-;-;
msgogo;Mouse Shooter GoGo;1995;Metro;YES;-;NO;-;-;
nbamht;NBA Maximum Hangtime (rev 1.03 06/09/97);1996;Midway;YES;-;NO;-;-;
nrallyx;New Rally X;1981;Namco;YES;-;NO;-;rallyx;
nbbatman;Ninja Baseball Batman (World);1993;Irem;YES;-;NO;-;-;
pacland;Pac-Land (World);1984;Namco;YES;-;NO;-;-;
photoy2k;Photo Y2K / Real and Fake (V105);1999;IGS;YES;pgm;NO;-;-;
pisces;Pisces;19??;Subelectro;YES;-;NO;-;-;
plotting;Plotting (World set 1);1989;Taito Corporation Japan;YES;-;NO;-;-;
puchicar;Puchi Carat (Ver 2.02O 1997/10/29);1997;Taito Corporation;YES;-;NO;-;-;
pzlbreak;Puzzle Break;1997;SemiCom;YES;-;NO;-;-;
puzzli2;Puzzli 2 (V100) [Incomplete dump];1999;IGS;YES;pgm;NO;-;-;
rtypeleo;R-Type Leo (World);1992;Irem;YES;-;NO;-;-;
r2dx_v33;Raiden II New / Raiden DX (newer V33 PCB) (Raiden DX EEPROM) [Terrible sound quality is normal for this game, use Raiden DX instead!];1996;Seibu Kaihatsu;YES;-;NO;-;-;
rallyx;Rally X (32k Ver.?);1980;Namco;YES;-;NO;-;-;
svg;S.V.G. - Spectral vs Generation (V200, China);2005;IGS;YES;pgm;NO;-;-;
secretag;Secret Agent (World revision 3);1989;Data East Corporation;YES;-;NO;-;-;
sengekis;Sengeki Striker (Asia);1997;Kaneko / Warashi;YES;skns;NO;-;-;
shinobi;Shinobi (set 6, System 16A, unprotected);1987;Sega;YES;-;NO;-;-;
snowboar;Snow Board Championship (Version 2.1);1994;Gaelco;YES;-;NO;-;-;
snowbro2;Snow Bros. 2 - with new elves;1994;[Toaplan] Hanafram;YES;-;NO;-;-;
solomon;Solomon's Key (US);1986;Tecmo;YES;-;NO;-;-;
sharrier;Space Harrier (Rev A, 8751 315-5163A);1985;Sega;YES;-;NO;-;-;
spcinv95;Space Invaders '95: The Attack Of Lunar Loonies (Ver 2.5O 1995/06/14);1995;Taito Corporation Japan;YES;-;NO;-;-;
sfz2al;Street Fighter Zero 2 Alpha (960826 Asia);1996;Capcom;YES;-;NO;-;-;
scobra;Super Cobra;1981;Konami;YES;-;NO;-;-;
smgp;Super Monaco GP (World, Rev B, FD1094 317-0126a);1989;Sega;YES;-;NO;-;-;
ssf2t;Super Street Fighter II Turbo (super street fighter 2 X 940223 etc);1994;Capcom;YES;-;NO;-;-;
tmnt;Teenage Mutant Ninja Turtles (World 4 Players, version X);1989;Konami;YES;-;NO;-;-;
killbld;The Killing Blade (V109, China);1998;IGS;YES;pgm;NO;-;-;
killbldp;The Killing Blade Plus (V300);2005;IGS;YES;pgm;NO;-;-;
kf2k3pcb;The King of Fighters 2003 (Japan, JAMMA PCB);2003;Playmore / Capcom;YES;-;NO;-;-;
toki;Toki (World, set 1);1989;TAD Corporation;YES;-;NO;-;-;
arkatour;Tournament Arkanoid (US);1987;Taito America Corporation (Romstar license);YES;-;NO;-;-;
tumblep;Tumble Pop (World);1991;Data East Corporation;YES;-;NO;-;-;
tutankhm;Tutankham;1982;Konami;YES;-;NO;-;-;
vendetta;Vendetta (World, 4 Players ver. T);1991;Konami;YES;-;NO;-;-;
vimana;Vimana (World, set 1);1991;Toaplan;YES;-;NO;-;-;
viostorm;Violent Storm (ver EAC);1993;Konami;YES;-;NO;-;-;
willow;Willow (World);1989;Capcom;YES;-;NO;-;-;
wb3;Wonder Boy III - Monster Lair (set 6, World, System 16B, 8751 317-0098);1988;Sega / Westone;YES;-;NO;-;-;
wbml;Wonder Boy in Monster Land (Japan New Ver., MC-8123, 317-0043);1987;Sega / Westone;YES;-;NO;-;-;
zerowing;Zero Wing (2P set);1989;Toaplan;YES;-;NO;-;-;
