name;description;year;category;genre;Top200;Top50;Icons;Top50 80s;Top50 90s;bios;sample
gtmr;1000 Miglia: Great 1000 Miles Rally;1994;Driving / Race;Driving;ok;x;;;x;;
1941;1941 - Counter Attack;1990;Shooter / Flying Vertical;Shooter;ok;x;;;x;;
1944;1944 - the loop master;2000;Shooter / Flying Vertical;Shooter;ok;;;;fbneo;;
19xx;19XX - the war against destiny;1995;Shooter / Flying Vertical;Shooter;ok;;;;x;;
openice;2 On 2 Open Ice Challenge;1995;Sports / Hockey;Sports;ok;;;;x;;
3countb;3 Count Bout / Fire Suplex;1993;Sports / Wrestling;Sports;ok;;;;x;neogeo;
astorm;Alien Storm;1990;Platform / Shooter Scrolling;Platform;ok;;;;x;;
avsp;Alien vs Predator;1994;Fighter / 2.5D;Fighter;ok;x;;;x;;
aliens;Aliens;1990;Platform / Shooter Scrolling;Platform;ok;;;;x;;
batrider;Armed Police Batrider;1998;Shooter / Flying Vertical;Shooter;ok;x;;;x;;
armwar;Armored Warriors;1994;Fighter / 2.5D;Fighter;ok;x;;;x;;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;Fighter / Versus;Fighter;ok;;;;x;neogeo;
asterix;Asterix;1992;Fighter / 2.5D;Fighter;ok;;;;x;;
batsugun;Batsugun;1993;Shooter / Flying Vertical;Shooter;ok;;;;x;;
bgaregga;Battle Garegga;1996;Shooter / Flying Vertical;Shooter;ok;;;;x;;
blazstar;Blazing Star;1998;Shooter / Flying Horizontal;Shooter;ok;x;;;x;neogeo;
bjourney;Blue's Journey / Raguy;1990;Platform / Fighter Scrolling;Platform;ok;;;;x;neogeo;
bnzabros;Bonanza Bros;1990;Platform / Shooter;Platform;ok;;;;x;;
bouldash;Boulder Dash / Boulder Dash Part 2;1990;Maze / Digging;Maze;ok;;x;;x;;
bublbob2;Bubble Bobble II;1994;Platform / Run Jump;Platform;ok;x;;;x;;
dino;Cadillacs & Dinosaurs;1993;Fighter / 2.5D;Fighter;ok;;;;x;;
csclub;Capcom Sports Club;1997;Sports / Multiplay;Sports;ok;;;;x;;
cairblad;Change Air Blade;1999;Shooter / Flying Vertical;Shooter;ok;fbneo;;;x;;
dariusg;Darius Gaiden - Silver Hawk;1994;Shooter / Flying Horizontal;Shooter;ok;x;;;x;;
deathsml;Deathsmiles;2007;Shooter / Flying Horizontal;Shooter;ok;x;;;x;;
ddonpach;DoDonPachi;1997;Shooter / Flying Vertical;Shooter;ok;x;;;x;;
dragnblz;Dragon Blaze;2000;Shooter / Flying Vertical;Shooter;ok;x;;;x;;
ddsom;Dungeons & Dragons - shadow over mystara;1996;Fighter / 2.5D;Fighter;ok;x;;;x;;
