name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;lang2;ranking;bestgame;alltime;cabinets;
ripcord;"Rip Cord";"1979";Exidy;YES;-;NO;-;ripcord;YES;NO;NO;-;NO;YES;NO;YES;circus.cpp;"Mame 0.34b3";"1998-09-17";"Mame 0.195";"2018-02-28";0;2;1;1;1;RASTER;"0";HORIZONTAL;248;256;57.000000;paddle;"CRT 15kHz";"M6502";"maincpu M6502 @0.705562 MHz";"Speaker,Samples,Discrete Sound";"mono Speaker, samples Samples, discrete Discrete Sound";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Sports / SkyDiving";Sports;-;English;"Black & White";NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=Sq_CjUJH_xE";-;0;NO;NO;NO;NO;"Black & White";"10 to 20 (Horrible)";"197x";"197x";NO;
ar_rdwr;"RoadWars (Arcadia, V 2.3)";"1988";"Arcadia Systems";YES;ar_bios;NO;-;-;YES;NO;NO;ar_bios;NO;YES;NO;NO;arsystems.cpp;"Mame 0.89u5";"2004-12-15";"Mame 0.195";"2018-02-28";0;2;2;2;1;RASTER;"0";HORIZONTAL;724;483;59.940059;"joystick (8-way)";"CRT 31kHz";"M68000,MOS 8520 CIA";"maincpu M68000 @7.15909 MHz, cia_0 MOS 8520 CIA @0.715909 MHz, cia_1 MOS 8520 CIA @0.715909 MHz";"Speaker,8364 Paula";"lspeaker Speaker, rspeaker Speaker, amiga 8364 Paula @3.579545 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Driving (chase view)";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P sim";-;"https://www.youtube.com/watch?v=dYRg47qg-mA";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";"1988";"1988";NO;
robotbwl;"Robot Bowl";"1977";Exidy;YES;-;NO;-;robotbwl;YES;NO;NO;-;NO;YES;NO;YES;circus.cpp;"Mame 0.30";"1998-01-08";"Mame 0.195";"2018-02-28";0;2;1;1;1;RASTER;"0";HORIZONTAL;248;256;57.000000;"joystick (2-way)";"CRT 15kHz";"M6502";"maincpu M6502 @0.705562 MHz";"Speaker,Samples,Discrete Sound";"mono Speaker, samples Samples, discrete Discrete Sound";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Sports / Bowling";Sports;-;English;"Black & White";NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=KCv4B6M0LBw";-;0;NO;NO;NO;NO;"Black & White";"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
skybase;"Sky Base";"1982";"Omori Electric Co., Ltd.";YES;-;NO;-;galaxian;YES;NO;NO;-;NO;YES;NO;YES;galaxian.cpp;"Mame 0.57";"2002-01-01";"Mame 0.195";"2018-02-28";0;2;1;1;1;RASTER;"90";VERTICAL;768;224;60.606061;"joystick (2-way)";"CRT 15kHz";"Z80";"maincpu Z80 @3.72 MHz";"Speaker,Galaxian Custom Sound,Discrete Sound";"speaker Speaker, cust Galaxian Custom Sound, discrete Discrete Sound";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Gallery";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";https://archive.org/details/arcade_skybase;"https://www.youtube.com/watch?v=497fCD0-qjc";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";-;"Cocktail, Upright";NO;
spcenctr;"Space Encounters";"1980";Midway;YES;-;NO;-;invaders;YES;NO;NO;-;NO;YES;NO;YES;"mw8080bw.cpp";"Mame 0.33b3";"1998-05-17";"Mame 0.195";"2018-02-28";0;1;1;1;1;RASTER;"0";HORIZONTAL;260;224;59.541985;positional;"CRT 15kHz";"8080";"maincpu 8080 @1.9968 MHz";"Speaker,TI SN76477 CSG,Discrete Sound";"mono Speaker, snsnd TI SN76477 CSG, discrete Discrete Sound";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Gallery";Shooter;-;English;"Black & White";NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;"https://www.youtube.com/watch?v=vbt__F5FpQ4";-;0;NO;NO;NO;NO;"Black & White";"10 to 20 (Horrible)";"1980";"1980";NO;
strtheat;"Street Heat";"1985";"Epos Corporation";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;dkong.cpp;"Mame 0.72u1";"2003-08-15";"Mame 0.195";"2018-02-28";0;3;1;1;1;RASTER;"90";VERTICAL;256;224;60.606061;"joystick (2-way),dial";"CRT 15kHz";"Z80,Intel 8257 DMA Controller,MB8884";"maincpu Z80 @3.72 MHz, dma8257 Intel 8257 DMA Controller @3.72 MHz, soundcpu MB8884 @6 MHz";"Speaker,Discrete Sound";"mono Speaker, discrete Discrete Sound";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Driving (chase view)";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";https://archive.org/details/arcade_strtheat;"https://www.youtube.com/watch?v=3DDoO492tTY";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";"1985";"Cocktail, Upright";NO;
laststar;"The Last Starfighter (prototype)";"1984";"Atari Games";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"atarisy4.cpp";"Mame 0.139u1";"2010-08-11";"Mame 0.195";"2018-02-28";0;6;0;0;1;RASTER;"0";HORIZONTAL;512;384;60.006001;"double joystick (8-way),joystick (analog)";"CRT 25kHz";"M68000,TMS32010";"maincpu M68000 @8 MHz, dsp0 TMS32010 @16 MHz";-;-;IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;UNKNOWN;GOOD;NODUMP;-;"Shooter / Flying 1st Person";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;"https://www.youtube.com/watch?v=9xmTDQp0sTc";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
timelimt;"Time Limit";"1983";"Chuo Co. Ltd";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;timelimt.cpp;"Mame 0.54";"2001-08-24";"Mame 0.195";"2018-02-28";0;1;1;1;1;RASTER;"90";VERTICAL;256;224;60.000000;"joystick (4-way)";"CRT 15kHz";"Z80";"maincpu Z80 @5 MHz, audiocpu Z80 @3.72 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay1 AY-3-8910A PSG @1.536 MHz, ay2 AY-3-8910A PSG @1.536 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Platform / Shooter";Platform;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";https://archive.org/details/arcade_timelimt;"https://www.youtube.com/watch?v=gXEfj_7vEx4";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";"1983";"1983";NO;
ctornado;"Tornado (DECO Cassette) (US)";"1982";"Data East Corporation";YES;decocass;NO;-;-;YES;NO;NO;decocass;NO;YES;NO;NO;decocass.cpp;"Mame 0.37b13 (0.49)";"2001-03-10";"Mame 0.195";"2018-02-28";0;2;2;1;1;RASTER;"270";VERTICAL;256;240;57.444853;"joystick (8-way),joystick (analog)";"CRT 15kHz";"DECO 222,M6502,I8041";"maincpu DECO 222 @0.75 MHz, audiocpu M6502 @0.5 MHz, mcu I8041 @6 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / 3rd Person";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=eiJMFC3BlqY";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";-;"Cocktail, Upright";NO;
tornbase;"Tornado Baseball / Ball Park";"1976";"Dave Nutting Associates / Midway / Taito";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"mw8080bw.cpp";"Mame 0.31";"1998-04-25";"Mame 0.195";"2018-02-28";0;3;1;1;1;RASTER;"0";HORIZONTAL;260;224;59.541985;"joystick (8-way)";"CRT 15kHz";"8080";"maincpu 8080 @1.9968 MHz";"Speaker,Discrete Sound";"mono Speaker, discrete Discrete Sound";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Sports / Baseball";Sports;"Tornado Baseball";English;"Black & White";NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P sim";-;"https://www.youtube.com/watch?v=5k9cNlf-92U";-;0;NO;NO;NO;NO;"Black & White";"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
tranqgun;"Tranquillizer Gun";"1980";Sega;YES;-;NO;-;tranqgun;YES;NO;NO;-;NO;YES;NO;YES;vicdual.cpp;"Mame 0.33b4";"1998-05-31";"Mame 0.195";"2018-02-28";0;1;1;1;1;RASTER;"270";VERTICAL;256;224;60.000000;"joystick (4-way)";"CRT 15kHz";"Z80";"maincpu Z80 @1.93356 MHz";"Speaker,Samples";"mono Speaker, samples Samples";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Maze / Shooter Small";Maze;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";https://archive.org/details/arcade_tranqgun;"https://www.youtube.com/watch?v=5mxZUaTtL9k";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";"1980";"1980";NO;
tunhunt;"Tunnel Hunt";"1979";Atari;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;tunhunt.cpp;"Mame 0.37b15 (0.51)";"2001-05-24";"Mame 0.195";"2018-02-28";0;2;2;1;1;RASTER;"90";VERTICAL;256;240;60.000000;"joystick (analog)";"CRT 15kHz";"M6502,Atari C012294 POKEY";"maincpu M6502 @2.16 MHz, pokey1 Atari C012294 POKEY @1.2096 MHz, pokey2 Atari C012294 POKEY @1.2096 MHz";"Speaker,Atari C012294 POKEY";"mono Speaker, pokey1 Atari C012294 POKEY @1.2096 MHz, pokey2 Atari C012294 POKEY @1.2096 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Flying 1st Person";Shooter;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"1P";-;"https://www.youtube.com/watch?v=nuNcm7tIbI8";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";"197x";"197x";NO;
tylz;"Tylz (prototype)";"1982";Mylstar;YES;-;NO;-;qbert;YES;NO;NO;-;NO;YES;NO;NO;gottlieb.cpp;"Mame 0.82";"2004-05-06";"Mame 0.195";"2018-02-28";0;1;2;1;1;RASTER;"0";HORIZONTAL;256;240;61.419025;"joystick (8-way)";"CRT 15kHz";"I8088,M6502";"maincpu I8088 @5 MHz, r1sound:audiocpu M6502 @0.894886 MHz";"Speaker,Gottlieb Sound rev. 1 with Votrax,8-Bit R-2R DAC,Votrax SC-01";"speaker Speaker, r1sound Gottlieb Sound rev. 1 with Votrax, r1sound:dac 8-Bit R-2R DAC, r1sound:votrax Votrax SC-01 @0.72 MHz";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Maze / Change Surface";Maze;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";https://archive.org/details/arcade_tylz;"https://www.youtube.com/watch?v=ynQYpoaDSjw";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
wtennis;"World Tennis";"1982";bootleg;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;btime.cpp;"Mame 0.35b12";"1999-05-01";"Mame 0.195";"2018-02-28";0;1;2;1;1;RASTER;"270";VERTICAL;240;240;57.444853;"joystick (8-way)";"CRT 15kHz";"DECO C10707,M6502";"maincpu DECO C10707 @1.5 MHz, audiocpu M6502 @0.5 MHz";"Speaker,AY-3-8910A PSG,Discrete Sound";"mono Speaker, ay1 AY-3-8910A PSG @1.5 MHz, ay2 AY-3-8910A PSG @1.5 MHz, discrete Discrete Sound";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Sports / Tennis";Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=jemd2Eahy3o";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";-;"Cocktail, Upright";NO;
ar_socc;"World Trophy Soccer (Arcadia, V 3.0)";"1989";"Arcadia Systems";YES;ar_bios;NO;-;-;YES;NO;NO;ar_bios;NO;YES;NO;NO;arsystems.cpp;"Mame 0.99u8";"2005-09-09";"Mame 0.195";"2018-02-28";0;2;2;2;1;RASTER;"0";HORIZONTAL;724;483;59.940059;"joystick (8-way)";"CRT 31kHz";"M68000,MOS 8520 CIA";"maincpu M68000 @7.15909 MHz, cia_0 MOS 8520 CIA @0.715909 MHz, cia_1 MOS 8520 CIA @0.715909 MHz";"Speaker,8364 Paula";"lspeaker Speaker, rspeaker Speaker, amiga 8364 Paula @3.579545 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Sports / Soccer";Sports;-;English;-;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P sim";-;"https://www.youtube.com/watch?v=jLGHhG1Jrso";-;0;NO;NO;NO;NO;English;"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
yosakdon;"Yosaku To Donbei (set 1)";"1979";Wing;YES;-;NO;-;invaders;YES;NO;NO;-;NO;YES;NO;YES;"8080bw.cpp";"Mame 0.36rc1";"2000-02-26";"Mame 0.195";"2018-02-28";0;1;1;1;1;RASTER;"270";VERTICAL;260;224;59.541985;"joystick (2-way)";"CRT 15kHz";"8080";"maincpu 8080 @1.9968 MHz";"Speaker,TI SN76477 CSG,Samples";"mono Speaker, snsnd TI SN76477 CSG, samples Samples";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;UNKNOWN;GOOD;GOOD;-;"Shooter / Gallery";Shooter;-;English;"Black & White";NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;"2P alt";-;"https://www.youtube.com/watch?v=hgaGEcsH8VY";-;0;NO;NO;NO;NO;"Black & White";"10 to 20 (Horrible)";-;"10 to 20 (Horrible)";NO;
