name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
88games;'88 Games;1988;Konami;YES;-;NO;-;-;
1943kai;1943 Kai: Midway Kaisen (Japan);1987;Capcom;YES;-;NO;-;-;
1945kiii;1945k III (newer, OPCX2 PCB);2000;Oriental Soft;YES;-;NO;-;-;
openice;2 On 2 Open Ice Challenge (rev 1.21);1995;Midway;YES;-;NO;-;-;
2020bb;2020 Super Baseball (set 1);1991;SNK / Pallas;YES;neogeo;NO;-;-;
abcop;A.B. Cop (World, FD1094 317-0169b);1990;Sega;YES;-;NO;-;-;
dogfgt;Acrobatic Dog-Fight;1984;Technos Japan;YES;-;NO;-;-;
afighter;Action Fighter, FD1089A 317-0018;1986;Sega;YES;-;NO;-;-;
aerofgt;Aero Fighters;1992;Video System Co.;YES;-;NO;-;-;
sonicwi2;Aero Fighters 2 / Sonic Wings 2;1994;Video System Co.;YES;neogeo;NO;-;-;
sonicwi3;Aero Fighters 3 / Sonic Wings 3;1995;Video System Co.;YES;neogeo;NO;-;-;
aburner2;After Burner II;1987;Sega;YES;-;NO;-;-;
airduel;Air Duel (World, M82-A-A + M82-B-A);1990;Irem;YES;-;NO;-;-;
agallet;Air Gallet (Europe);1996;BanPresto / Gazelle;YES;-;NO;-;-;
ajax;Ajax;1987;Konami;YES;-;NO;-;-;
alexkidd;Alex Kidd: The Lost Stars (set 2, unprotected);1986;Sega;YES;-;NO;-;-;
amidar;Amidar;1981;Konami;YES;-;NO;-;-;
anteater;Anteater;1982;Stern (Tago license);YES;-;NO;-;-;
aquajack;Aquajack (World);1990;Taito Corporation Japan;YES;-;NO;-;-;
arabianm;Arabian Magic (Ver 1.0O 1992/07/06);1992;Taito Corporation Japan;YES;-;NO;-;-;
arkarea;Ark Area;1988;UPL;YES;-;NO;-;-;
arkretrn;Arkanoid Returns (Ver 2.02O 1997/02/10);1997;Taito Corporation;YES;-;NO;-;-;
armwrest;Arm Wrestling;1985;Nintendo;YES;-;NO;-;-;
batrider;Armed Police Batrider (Europe) (Fri Feb 13 1998);1998;Raizing / 8ing;YES;-;NO;-;-;
armwar;Armored Warriors (941024 Europe);1994;Capcom;YES;-;NO;-;-;
aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056);1994;SNK;YES;neogeo;NO;-;-;
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;SNK;YES;neogeo;NO;-;-;
assault;Assault (Rev B);1988;Namco;YES;-;NO;-;-;
asterix;Asterix (ver EAD);1992;Konami;YES;-;NO;-;-;
asurabld;Asura Blade - Sword of Dynasty (Japan);1998;Fuuki;YES;-;NO;-;-;
aurail;Aurail (set 3, US, unprotected);1990;Sega / Westone;YES;-;NO;-;-;
avengers;Avengers (US set 1);1987;Capcom;YES;-;NO;-;-;
aztarac;Aztarac [Vector graphics];1983;Centuri;YES;-;NO;-;-;
backfirt;Back Fire (Tecmo, bootleg);1988;Tecmo;YES;-;NO;-;-;
backfire;Backfire! (set 1);1995;Data East Corporation;YES;-;NO;-;-;
balcube;Bal Cube;1996;Metro;YES;-;NO;-;-;
bang;Bang!;1998;Gaelco;YES;-;NO;-;-;
bankp;Bank Panic;1984;[Sanritsu] Sega;YES;-;NO;-;-;
bstars2;Baseball Stars 2;1992;SNK;YES;neogeo;NO;-;-;
batsugun;Batsugun (set 1);1993;Toaplan;YES;-;NO;-;-;
batcir;Battle Circuit (970319 Euro);1997;Capcom;YES;-;NO;-;-;
flipshot;Battle Flip Shot;1998;Visco;YES;neogeo;NO;-;-;
blswhstl;Bells & Whistles (World, version L);1991;Konami;YES;-;NO;-;-;
bestri;Bestri (Korea);1998;F2 System;YES;-;NO;-;-;
biomtoy;Biomechanical Toy (Ver. 1.0.1885);1995;Gaelco;YES;-;NO;-;-;
bishi;Bishi Bashi Championship Mini Game Senshuken (ver JAA, 3 Players) [Imperfect gfx (one gfx rom bad, bad priorities)];1996;Konami;YES;-;NO;-;-;
blktiger;Black Tiger;1987;Capcom;YES;-;NO;-;-;
blazer;Blazer (Japan);1987;Namco;YES;-;NO;-;-;
blockout;Block Out (set 1);1989;Technos + California Dreams;YES;-;NO;-;-;
blueprnt;Blue Print (Midway);1982;[Zilec Electronics] Bally Midway;YES;-;NO;-;-;
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001);1990;Alpha Denshi Co.;YES;neogeo;NO;-;-;
bogeyman;Bogey Manor [NULL];1985;Technos Japan;YES;-;NO;-;-;
bbmanw;Bomber Man World / New Dyna Blaster - Global Quest;1992;Irem;YES;-;NO;-;-;
bjtwin;Bombjack Twin (set 1);1993;NMK;YES;-;NO;-;-;
bouldash;Boulder Dash / Boulder Dash Part 2 (World);1990;Data East Corporation (licensed from First Star);YES;-;NO;-;-;
brkthru;Break Thru (US);1986;Data East USA;YES;-;NO;-;-;
bubblem;Bubble Memories: The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15);1995;Taito Corporation Japan;YES;-;NO;-;-;
bucky;Bucky O'Hare (ver EAB);1992;Konami;YES;-;NO;-;-;
burglarx;Burglar X;1997;Unico;YES;-;NO;-;-;
brubber;Burnin' Rubber;1982;Data East;YES;-;NO;-;-;
cadash;Cadash (World);1989;Taito Corporation Japan;YES;-;NO;-;-;
dino;Cadillacs & Dinosaurs (930201 etc);1993;Capcom;YES;-;NO;-;-;
calibr50;Caliber 50;1989;Athena / Seta;YES;-;NO;-;-;
cameltry;Cameltry (US, YM2610);1989;Taito America Corporation;YES;-;NO;-;-;
canyon;Canyon Bomber [No sound];1977;Atari;YES;-;NO;-;-;
csclub;Capcom Sports Club (971017 Euro);1997;Capcom;YES;-;NO;-;-;
ctomaday;Captain Tomaday;1999;Visco;YES;neogeo;NO;-;-;
cawing;Carrier Air Wing (U.S. navy 901012 etc);1990;Capcom;YES;-;NO;-;-;
cninja;Caveman Ninja (World ver 4);1991;Data East Corporation;YES;-;NO;-;-;
centiped;Centipede (revision 4);1980;Atari;YES;-;NO;-;-;
chainrec;Chain Reaction (World, Version 2.2, 1995.09.25);1995;Data East;YES;-;NO;-;-;
chameleo;Chameleon;1983;Jaleco;YES;-;NO;-;-;
cairblad;Change Air Blade (Japan);1999;Sammy;YES;-;NO;-;-;
charlien;Charlie Ninja;1995;Mitchell;YES;-;NO;-;-;
chasehq;Chase H.Q. (World);1988;Taito Corporation Japan;YES;-;NO;-;-;
citybomb;City Bomber (World);1987;Konami;YES;-;NO;-;-;
citycon;City Connection (set 1);1985;Jaleco;YES;-;NO;-;-;
cltchitr;Clutch Hitter (set 2, US, FD1094 317-0176);1991;Sega;YES;-;NO;-;-;
commando;Commando (World);1985;Capcom;YES;-;NO;-;-;
congo;Congo Bongo;1983;Sega;YES;-;NO;-;-;
contcirc;Continental Circus (World);1987;Taito Corporation Japan;YES;-;NO;-;-;
contra;Contra (US / Asia, set 1);1987;Konami;YES;-;NO;-;-;
cotton;Cotton (set 3, World, FD1094 317-0181a);1991;Success / Sega;YES;-;NO;-;-;
countryc;Country Club [bad inputs, use fitegolf instead!];1988;SNK;YES;-;NO;-;-;
ddcrew;D. D. Crew (set 4, World, 3 Players, FD1094 317-0190);1991;Sega;YES;-;NO;-;-;
daioh;Daioh;1993;Athena;YES;-;NO;-;-;
dangseed;Dangerous Seed (Japan);1989;Namco;YES;-;NO;-;-;
daraku;Daraku Tenshi - The Fallen Angels;1998;Psikyo;YES;-;NO;-;-;
darius;Darius (World);1986;Taito Corporation Japan;YES;-;NO;-;-;
dariusg;Darius Gaiden - Silver Hawk (Ver 2.5O 1994/09/19);1994;Taito Corporation Japan;YES;-;NO;-;-;
dariusgx;Darius Gaiden - Silver Hawk Extra Version (Ver 2.7J 1995/03/06) (Official Hack);1994;Taito Corporation;YES;-;NO;-;-;
darius2;Darius II (Japan);1989;Taito Corporation;YES;-;NO;-;-;
deadconx;Dead Connection (World);1992;Taito Corporation Japan;YES;-;NO;-;-;
deroon;Deroon DeroDero [No sound];1995;Tecmo;YES;-;NO;-;-;
desertbr;Desert Breaker (World, FD1094 317-0196);1992;Sega;YES;-;NO;-;-;
devilw;Devil World;1987;Konami;YES;-;NO;-;-;
dharma;Dharma Doujou;1994;Metro;YES;-;NO;-;-;
dinorex;Dino Rex (World);1992;Taito Corporation Japan;YES;-;NO;-;-;
dirtfoxj;Dirt Fox (Japan);1989;Namco;YES;-;NO;-;-;
djboy;DJ Boy (set 1);1989;Kaneko (American Sammy license);YES;-;NO;-;-;
dorunrun;Do! Run Run (set 1);1984;Universal;YES;-;NO;-;-;
ddonpach;DoDonPachi (International, master ver. 97/02/05);1997;Atlus / Cave;YES;-;NO;-;-;
dogyuun;Dogyuun;1992;Toaplan;YES;-;NO;-;-;
dommy;Dommy;198?;Technos;YES;-;NO;-;-;
dkong3;Donkey Kong 3 (US);1983;Nintendo of America;YES;-;NO;-;-;
dorodon;Dorodon (set 1);1982;Falcon;YES;-;NO;-;-;
dblaxle;Double Axle (US);1991;Taito America Corporation;YES;-;NO;-;-;
ddragon2;Double Dragon II - The Revenge (World);1988;Technos;YES;-;NO;-;-;
dblewing;Double Wings;1993;Mitchell;YES;-;NO;-;-;
downtown;DownTown / Mokugeki (Set 1);1989;Seta;YES;-;NO;-;-;
drmicro;Dr. Micro;1983;Sanritsu;YES;-;NO;-;-;
dbreed;Dragon Breed (M81 PCB version);1989;Irem;YES;-;NO;-;-;
dbz;Dragonball Z (rev B);1993;Banpresto;YES;-;NO;-;-;
dremshpr;Dream Shopper;1982;Sanritsu;YES;-;NO;-;-;
dreamwld;Dream World;2000;SemiCom;YES;-;NO;-;-;
drifto94;Drift Out '94 - The Hard Order (Japan);1994;Visco;YES;-;NO;-;-;
ddsom;Dungeons & Dragons - shadow over mystara (960619 Euro);1996;Capcom;YES;-;NO;-;-;
dunkshot;Dunk Shot (Rev C, FD1089 317-0022);1987;Sega;YES;-;NO;-;-;
dynagear;Dyna Gear;1993;Sammy;YES;-;NO;-;-;
dynablst;Dynablaster / Bomber Man;1991;Irem (licensed from Hudson Soft);YES;-;NO;-;-;
dynduke;Dynamite Duke (Europe, 03SEP89);1989;Seibu Kaihatsu;YES;-;NO;-;-;
ddux;Dynamite Dux (set 2, FD1094 317-0096);1989;Sega;YES;-;NO;-;-;
dynwar;Dynasty Wars (US set 1);1989;Capcom;YES;-;NO;-;-;
eaglshot;Eagle Shot Golf;1994;Sammy;YES;-;NO;-;-;
ecofghtr;Eco Fighters (931203 etc);1993;Capcom;YES;-;NO;-;-;
elvactr;Elevator Action Returns (Ver 2.2O 1995/02/20);1994;Taito Corporation Japan;YES;-;NO;-;-;
enduror;Enduro Racer (YM2151, FD1089B 317-0013A);1986;Sega;YES;-;NO;-;-;
esprade;ESP Ra.De. - A.D.2018 Tokyo (International, ver. 98/04/22);1998;Atlus / Cave;YES;-;NO;-;-;
evilston;Evil Stone;1990;Spacy Industrial, Ltd.;YES;-;NO;-;-;
exedexes;Exed Exes;1985;Capcom;YES;-;NO;-;-;
extdwnhl;Extreme Downhill (v1.5);1995;Sammy Industries Japan;YES;-;NO;-;-;
eyes;Eyes (Digitrex Techstar);1982;Digitrex Techstar (Rock-ola license);YES;-;NO;-;-;
fantzone;Fantasy Zone (Rev A, unprotected);1986;Sega;YES;-;NO;-;-;
fatfury2;Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai (NGM-047)(NGH-047);1992;SNK;YES;neogeo;NO;-;-;
fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai (NGM-069)(NGH-069);1995;SNK;YES;neogeo;NO;-;-;
fatfursp;Fatal Fury Special / Garou Densetsu Special (set 1)(NGM-058)(NGH-058);1993;SNK;YES;neogeo;NO;-;-;
firetrap;Fire Trap (US, set 1);1986;Wood Place Inc. (Data East USA license);YES;-;NO;-;-;
flicky;Flicky (128k Version, 315-5051);1984;Sega;YES;-;NO;-;-;
footchmp;Football Champ (World);1990;Taito Corporation Japan;YES;-;NO;-;-;
fbfrenzy;Football Frenzy (NGM-034)(NGH-034);1992;SNK;YES;neogeo;NO;-;-;
freekick;Free Kick (NS6201-A 1987.10);1987;Nihon System (Merit license);YES;-;NO;-;-;
gijoe;G.I. Joe (World, EAB, set 1);1992;Konami;YES;-;NO;-;-;
galaxyfg;Galaxy Fight - Universal Warriors;1995;Sunsoft;YES;neogeo;NO;-;-;
gforce2;Galaxy Force 2;1988;Sega;YES;-;NO;-;-;
ginkun;Ganbare Ginkun;1995;Tecmo;YES;-;NO;-;-;
gbusters;Gang Busters (set 1);1988;Konami;YES;-;NO;-;-;
gangwars;Gang Wars;1989;Alpha Denshi Co.;YES;-;NO;-;-;
gauntlet;Gauntlet (rev 14);1985;Atari Games;YES;-;NO;-;-;
gaunt2;Gauntlet II;1986;Atari Games;YES;-;NO;-;-;
gigasm2b;Gigas Mark II;1986;bootleg;YES;-;NO;-;-;
sgladiat;Gladiator 1984;1984;SNK;YES;-;NO;-;-;
goalx3;Goal! Goal! Goal!;1995;Visco;YES;neogeo;NO;-;-;
gollygho;Golly! Ghost!;1990;Namco;YES;-;NO;-;-;
plegends;Gouketsuji Gaiden Legends (USA, ver. 95/06/20);1995;Atlus / KM International;YES;-;NO;-;-;
gprider;GP Rider (World, FD1094 317-0163) (Twin setup) [Single version only];1990;Sega;YES;-;NO;-;-;
gseeker;Grid Seeker: Project Storm Hammer (Ver 1.3O);1992;Taito Corporation Japan;YES;-;NO;-;-;
growl;Growl (World, Rev 1);1990;Taito Corporation Japan;YES;-;NO;-;-;
grdians;Guardians [Imperfect graphics @ game start cutscene];1995;Banpresto;YES;-;NO;-;-;
gwar;Guerrilla War (US);1987;SNK;YES;-;NO;-;-;
gunfront;Gun & Frontier (World);1990;Taito Corporation Japan;YES;-;NO;-;-;
gunmast;Gun Master;1994;Metro;YES;-;NO;-;-;
gunsmoke;Gun.Smoke (World, 851115);1985;Capcom;YES;-;NO;-;-;
gunbird;Gunbird (World);1994;Psikyo;YES;-;NO;-;-;
gunforce;Gunforce - Battle Fire Engulfed Terror Island (World);1991;Irem;YES;-;NO;-;-;
pbancho;Gyakuten!! Puzzle Bancho (Japan);1996;Fuuki;YES;-;NO;-;-;
hharry;Hammerin' Harry (World);1990;Irem;YES;-;NO;-;-;
hangonjr;Hang-On Jr. [Graphics issues on the Game Over screen];1985;Sega;YES;-;NO;-;-;
happy6;Happy 6-in-1 (V102 - V101MK, China);2004;IGS;YES;pgm;NO;-;-;
hcastle;Haunted Castle (ver. M);1988;Konami;YES;-;NO;-;-;
hedpanic;Head Panic (ver. 0117, 17/01/2000) [Story line & game instructions in English];2000;ESD;YES;-;NO;-;-;
hvymetal;Heavy Metal (315-5135);1985;Sega;YES;-;NO;-;-;
hexion;Hexion (Japan ver. JAB);1992;Konami;YES;-;NO;-;-;
hitice;Hit the Ice (US);1990;Taito Corporation (Williams licence);YES;-;NO;-;-;
hook;Hook (World);1992;Irem;YES;-;NO;-;-;
hotdogst;Hotdog Storm - The First Supersonics (International);1996;Marble / ACE International;YES;-;NO;-;-;
imsorry;I'm Sorry (315-5110, US);1985;Coreland / Sega;YES;-;NO;-;-;
insectx;Insector X (World);1989;Taito Corporation Japan;YES;-;NO;-;-;
intcup94;International Cup '94 (Ver 2.2O 1994/05/26);1994;Taito Corporation Japan;YES;-;NO;-;-;
ironhors;Iron Horse;1986;Konami;YES;-;NO;-;-;
ixion;Ixion (prototype);1983;Sega;YES;-;NO;-;-;
jjsquawk;J. J. Squawkers;1993;Athena / Able;YES;-;NO;-;-;
jackal;Jackal (World, 8-way Joystick);1986;Konami;YES;-;NO;-;-;
jchan;Jackie Chan - The Kung-Fu Master;1995;Kaneko;YES;-;NO;-;-;
joyfulr;Joyful Road (Japan);1983;SNK;YES;-;NO;-;-;
jumpcoas;Jump Coaster;1983;Kaneko;YES;-;NO;-;-;
jcross;Jumping Cross;1984;SNK;YES;-;NO;-;-;
jumppop;Jumping Pop (set 1);2001;ESD;YES;-;NO;-;-;
jungler;Jungler;1981;Konami;YES;-;NO;-;-;
